time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-02-20 00:00:00+00:00,,,98.0,7.0
2024-02-21 00:00:00+00:00,,,41.0,2.0
2024-02-22 00:00:00+00:00,,,95.0,8.0
2024-02-23 00:00:00+00:00,,,71.0,8.0
2024-02-24 00:00:00+00:00,1.0,1.0,,
2024-02-25 00:00:00+00:00,,,8.0,1.0
2024-02-26 00:00:00+00:00,,,101.0,5.0
2024-02-27 00:00:00+00:00,,,41.0,5.0
2024-02-28 00:00:00+00:00,2.0,2.0,25.0,7.0
2024-02-29 00:00:00+00:00,,,20.0,7.0
2024-03-01 00:00:00+00:00,,,1.0,1.0
2024-03-04 00:00:00+00:00,1.0,1.0,67.0,7.0
