time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-30 00:00:00+00:00,2.0,1.0,,
2023-12-31 00:00:00+00:00,1.0,1.0,3.0,2.0
2024-01-01 00:00:00+00:00,2.0,1.0,7.0,1.0
2024-01-02 00:00:00+00:00,,,103.0,7.0
2024-01-03 00:00:00+00:00,,,4.0,2.0
2024-01-04 00:00:00+00:00,,,10.0,2.0
2024-01-05 00:00:00+00:00,,,7.0,3.0
2024-01-07 00:00:00+00:00,,,14.0,2.0
2024-01-08 00:00:00+00:00,,,234.0,5.0
2024-01-09 00:00:00+00:00,,,12.0,2.0
2024-01-10 00:00:00+00:00,1.0,1.0,11.0,2.0
2024-01-11 00:00:00+00:00,1.0,1.0,9.0,3.0
2024-01-12 00:00:00+00:00,1.0,1.0,77.0,3.0
