time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-12-19 00:00:00+00:00,0,0,5,1
2022-12-21 00:00:00+00:00,0,0,3,1
2022-12-26 00:00:00+00:00,0,0,1,1
2023-01-02 00:00:00+00:00,0,0,5,1
2023-01-04 00:00:00+00:00,0,0,21,2
2023-01-05 00:00:00+00:00,0,0,202,2
2023-01-06 00:00:00+00:00,0,0,24,2
2023-01-09 00:00:00+00:00,0,0,2,1
2023-01-11 00:00:00+00:00,0,0,10,2
2023-01-13 00:00:00+00:00,0,0,9,2
2023-01-16 00:00:00+00:00,0,0,5,2
2023-01-18 00:00:00+00:00,0,0,1,1
2023-01-20 00:00:00+00:00,0,0,34,3
2023-01-21 00:00:00+00:00,0,0,4,1
2023-01-23 00:00:00+00:00,0,0,5,2
2023-01-24 00:00:00+00:00,0,0,10,4
2023-01-25 00:00:00+00:00,0,0,2,1
2023-01-26 00:00:00+00:00,0,0,4,1
2023-01-27 00:00:00+00:00,0,0,4,2
2023-01-30 00:00:00+00:00,0,0,28,4
2023-01-31 00:00:00+00:00,0,0,8,4
2023-02-01 00:00:00+00:00,3,3,9,2
2023-02-02 00:00:00+00:00,0,0,9,5
2023-02-03 00:00:00+00:00,0,0,5,4
2023-02-05 00:00:00+00:00,0,0,3,3
2023-02-06 00:00:00+00:00,192,2,46,3
2023-02-07 00:00:00+00:00,0,0,4,4
2023-02-09 00:00:00+00:00,0,0,1,1
2023-02-11 00:00:00+00:00,0,0,4,1
2023-02-12 00:00:00+00:00,2,1,0,0
2023-02-13 00:00:00+00:00,0,0,3,2
2023-02-14 00:00:00+00:00,2,2,11,3
2023-02-15 00:00:00+00:00,0,0,3,2
2023-02-16 00:00:00+00:00,0,0,4,3
2023-02-17 00:00:00+00:00,0,0,5,3
2023-02-18 00:00:00+00:00,1,1,0,0
2023-02-20 00:00:00+00:00,0,0,2,1
2023-02-21 00:00:00+00:00,0,0,8,3
2023-02-22 00:00:00+00:00,0,0,8,1
2023-02-23 00:00:00+00:00,0,0,18,2
2023-02-24 00:00:00+00:00,0,0,2,2
2023-02-25 00:00:00+00:00,0,0,7,1
2023-02-26 00:00:00+00:00,0,0,17,1
