time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-12-06 00:00:00+00:00,4,2,0,0
2022-12-07 00:00:00+00:00,4,2,0,0
2022-12-13 00:00:00+00:00,1,1,0,0
2022-12-19 00:00:00+00:00,0,0,1,1
2022-12-21 00:00:00+00:00,0,0,7,1
2022-12-24 00:00:00+00:00,1,1,0,0
2023-01-02 00:00:00+00:00,1,1,0,0
2023-01-03 00:00:00+00:00,4,2,1,1
2023-01-09 00:00:00+00:00,1,1,0,0
2023-01-11 00:00:00+00:00,0,0,1,1
2023-01-13 00:00:00+00:00,1,1,0,0
2023-01-18 00:00:00+00:00,0,0,3,1
2023-02-01 00:00:00+00:00,3,2,0,0
2023-02-14 00:00:00+00:00,1,1,8,1
2023-02-20 00:00:00+00:00,1,1,0,0
2023-02-25 00:00:00+00:00,4,4,0,0
2023-02-27 00:00:00+00:00,0,0,1,1
