time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-10-11 00:00:00+00:00,2.0,1.0,55,4
2023-10-12 00:00:00+00:00,1.0,1.0,22,1
2023-10-13 00:00:00+00:00,,,44,3
2023-10-15 00:00:00+00:00,,,2,1
2023-10-16 00:00:00+00:00,,,151,6
2023-10-17 00:00:00+00:00,,,53,6
2023-10-18 00:00:00+00:00,,,30,3
2023-10-19 00:00:00+00:00,,,29,6
2023-10-20 00:00:00+00:00,,,7,3
2023-10-21 00:00:00+00:00,,,5,2
2023-10-22 00:00:00+00:00,,,4,1
2023-10-23 00:00:00+00:00,,,19,3
2023-10-24 00:00:00+00:00,,,4,3
