time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-01 00:00:00+00:00,0,0,11,10
2026-04-02 00:00:00+00:00,0,0,7,7
2026-04-03 00:00:00+00:00,0,0,2,2
2026-04-04 00:00:00+00:00,1,1,3,3
2026-04-05 00:00:00+00:00,0,0,2,2
2026-04-06 00:00:00+00:00,0,0,18,5
2026-04-07 00:00:00+00:00,0,0,3,2
2026-04-08 00:00:00+00:00,0,0,5,4
2026-04-09 00:00:00+00:00,0,0,4,4
2026-04-10 00:00:00+00:00,0,0,4,4
2026-04-11 00:00:00+00:00,1,1,0,0
2026-04-12 00:00:00+00:00,1,1,3,3
2026-04-13 00:00:00+00:00,0,0,6,4
2026-04-14 00:00:00+00:00,0,0,8,4
