time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-11-30 00:00:00+00:00,1,1,18,3
2022-12-01 00:00:00+00:00,0,0,35,6
2022-12-03 00:00:00+00:00,0,0,10,4
2022-12-04 00:00:00+00:00,1,1,34,3
2022-12-05 00:00:00+00:00,0,0,62,5
2022-12-06 00:00:00+00:00,2,1,6,4
2022-12-07 00:00:00+00:00,4,2,46,5
2022-12-08 00:00:00+00:00,0,0,10,2
2022-12-09 00:00:00+00:00,0,0,5,2
2022-12-10 00:00:00+00:00,0,0,9,3
2022-12-12 00:00:00+00:00,1,1,47,6
2022-12-13 00:00:00+00:00,0,0,38,7
2022-12-14 00:00:00+00:00,0,0,40,3
2022-12-15 00:00:00+00:00,0,0,2,1
2022-12-16 00:00:00+00:00,0,0,3,1
2022-12-17 00:00:00+00:00,0,0,1,1
2022-12-19 00:00:00+00:00,0,0,62,12
2022-12-20 00:00:00+00:00,0,0,32,7
2022-12-21 00:00:00+00:00,0,0,44,7
2022-12-22 00:00:00+00:00,0,0,15,5
2022-12-23 00:00:00+00:00,0,0,10,2
2022-12-25 00:00:00+00:00,0,0,43,4
2022-12-26 00:00:00+00:00,0,0,4,1
2022-12-27 00:00:00+00:00,0,0,29,4
2022-12-28 00:00:00+00:00,0,0,5,2
2022-12-29 00:00:00+00:00,0,0,3,2
