url_path,views_total,views_unique
/ArrowElectronics/hdl/tree/R20.1_TE_DSD_1.0/projects,12,2
/ArrowElectronics/hdl/tree/R20.1_TE_DSD_1.0/projects/arrow_ghrd/tei0022,12,1
/ArrowElectronics/hdl,10,5
/ArrowElectronics/hdl/tree/R20.1_TE_DSD_1.0/projects/arrow_ghrd/tei0022/complete_design,9,1
/ArrowElectronics/hdl/tree/R20.1_TE_DSD_1.0,6,1
/ArrowElectronics/hdl/tree/R20.1_TE_DSD_1.0/projects/arrow_ghrd/tei0022/complete_design/ghrd_ad40xx,6,1
/ArrowElectronics/hdl/tree/R20.1_TE_DSD_1.0/projects/arrow_ghrd,5,1
/ArrowElectronics/hdl/find/R20.1_TE_DSD_1.0,4,1
/ArrowElectronics/hdl/tree/R20.1_TE_DSD_1.0/projects/arrow_ghrd/tei0022/complete_design/ghrd,3,1
/ArrowElectronics/hdl/actions,2,2
